"filename", "language", "Python", "Markdown", "sqlite3-editor-database", "Ini", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\.env", "Properties", 0, 0, 0, 0, 0, 2, 0, 1, 3
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\TODO.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\init_db.py", "Python", 7, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\instance\db.sqlite3", "sqlite3-editor-database", 0, 0, 76, 0, 0, 0, 0, 2, 78
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\mason_snd\__init__.py", "Python", 23, 0, 0, 0, 0, 0, 0, 10, 33
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\mason_snd\blueprints\admin\admin.py", "Python", 28, 0, 0, 0, 0, 0, 1, 12, 41
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\mason_snd\blueprints\auth\auth.py", "Python", 139, 0, 0, 0, 0, 0, 10, 38, 187
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\mason_snd\blueprints\events\events.py", "Python", 162, 0, 0, 0, 0, 0, 13, 48, 223
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\mason_snd\blueprints\profile\profile.py", "Python", 145, 0, 0, 0, 0, 0, 38, 47, 230
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\mason_snd\extensions.py", "Python", 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\mason_snd\models\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\mason_snd\models\admin.py", "Python", 8, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\mason_snd\models\auth.py", "Python", 29, 0, 0, 0, 0, 0, 2, 12, 43
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\mason_snd\models\events.py", "Python", 27, 0, 0, 0, 0, 0, 0, 16, 43
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\mason_snd\models\tournaments.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\mason_snd\templates\admin\add_popup.html", "HTML", 0, 0, 0, 0, 4, 0, 0, 5, 9
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\mason_snd\templates\admin\index.html", "HTML", 0, 0, 0, 0, 5, 0, 0, 4, 9
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\mason_snd\templates\auth\base.html", "HTML", 0, 0, 0, 0, 15, 0, 0, 4, 19
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\mason_snd\templates\auth\login.html", "HTML", 0, 0, 0, 0, 22, 0, 0, 8, 30
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\mason_snd\templates\auth\register.html", "HTML", 0, 0, 0, 0, 86, 0, 5, 11, 102
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\mason_snd\templates\errors\403.html", "HTML", 0, 0, 0, 0, 6, 0, 0, 1, 7
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\mason_snd\templates\events\add_event.html", "HTML", 0, 0, 0, 0, 22, 0, 0, 11, 33
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\mason_snd\templates\events\base.html", "HTML", 0, 0, 0, 0, 15, 0, 0, 4, 19
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\mason_snd\templates\events\edit_event.html", "HTML", 0, 0, 0, 0, 14, 0, 0, 5, 19
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\mason_snd\templates\events\index.html", "HTML", 0, 0, 0, 0, 29, 0, 0, 11, 40
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\mason_snd\templates\events\manage_members.html", "HTML", 0, 0, 0, 0, 28, 0, 0, 2, 30
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\mason_snd\templates\partials\nav_links.html", "HTML", 0, 0, 0, 0, 8, 0, 0, 0, 8
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\mason_snd\templates\profile\add_child.html", "HTML", 0, 0, 0, 0, 24, 0, 0, 12, 36
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\mason_snd\templates\profile\add_judge.html", "HTML", 0, 0, 0, 0, 24, 0, 0, 12, 36
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\mason_snd\templates\profile\base.html", "HTML", 0, 0, 0, 0, 15, 0, 0, 4, 19
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\mason_snd\templates\profile\profile.html", "HTML", 0, 0, 0, 0, 30, 0, 0, 8, 38
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\mason_snd\templates\profile\update.html", "HTML", 0, 0, 0, 0, 40, 0, 0, 17, 57
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\migrations\alembic.ini", "Ini", 0, 0, 0, 38, 0, 0, 0, 13, 51
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\migrations\env.py", "Python", 54, 0, 0, 0, 0, 0, 34, 26, 114
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\migrations\versions\58aa8a554656_describe_your_change_here.py", "Python", 16, 0, 0, 0, 0, 0, 12, 9, 37
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\migrations\versions\d03ef3e0538d_added_child.py", "Python", 14, 0, 0, 0, 0, 0, 12, 9, 35
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\tutorial\__init__.py", "Python", 14, 0, 0, 0, 0, 0, 0, 7, 21
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\tutorial\blueprints\calculator\calculator.py", "Python", 15, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\tutorial\blueprints\helloworld\helloworld.py", "Python", 14, 0, 0, 0, 0, 0, 0, 6, 20
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\tutorial\extensions.py", "Python", 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\tutorial\models.py", "Python", 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\tutorial\models\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\tutorial\models\user.py", "Python", 33, 0, 0, 0, 0, 0, 0, 9, 42
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\tutorial\models\video.py", "Python", 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\nusair.w\OneDrive - Procter and Gamble\Documents\GitHub\mason-snd\tutorial\templates\helloworld\hello.html", "HTML", 0, 0, 0, 0, 11, 0, 0, 0, 11
"Total", "-", 743, 1, 76, 38, 398, 2, 127, 403, 1788
